#	"Day"	"Source city ID"	"Target city ID"	"Value"
109	1377	1385	2
109	1714	1713	16
109	2042	11	2
109	2335	3228	16
109	2610	2729	16
109	3205	3214	16
109	3205	3233	2
110	596	430	16
110	596	598	2
110	791	655	16
110	791	1116	2
110	837	655	2
110	997	955	8
110	1024	626	16
110	1024	2715	16
110	1024	2905	16
110	1036	2062	8
110	1036	2515	2
110	1173	1165	2
110	1612	1680	2
110	1714	1717	2
110	2318	2193	16
110	2397	583	16
110	2429	2522	16
110	2642	3232	8
110	2716	1783	2
110	2825	753	2
110	3099	3072	2
110	3181	1084	8
111	262	69	8
111	296	291	8
111	538	536	16
111	596	595	10
111	748	1768	8
111	789	2902	8
111	791	55	8
111	1024	309	2
111	1024	797	2
111	1024	2502	8
111	1377	1387	16
111	1377	1389	2
111	2393	2445	8
111	2518	797	16
112	596	621	16
112	791	2906	16
112	1024	1738	16
112	1024	1790	16
112	1024	3090	2
112	1024	3158	16
112	1036	2516	16
112	1535	284	2
112	2642	2628	8
112	2874	2919	2
112	3099	1525	8
113	742	1350	8
113	789	2812	8
113	789	2877	8
113	789	2896	8
113	791	221	8
113	997	2128	8
113	1023	1085	8
113	1024	285	8
113	1216	1222	16
113	1535	1346	16
113	1714	1703	16
113	1714	1720	8
113	2042	2000	2
113	2518	1933	16
113	2682	1432	16
113	2682	1933	2
113	2911	2879	8
113	3205	3200	16
113	3250	3243	16
114	412	460	2
114	596	173	16
114	596	1101	16
114	596	1125	8
114	1024	445	2
114	1024	1220	8
114	1354	859	8
114	1535	3173	16
114	1714	1707	8
114	2335	901	16
114	2375	3222	8
114	3004	1719	16
114	3004	3006	8
114	3004	3008	16
114	3205	3188	2
115	262	1082	16
115	473	397	8
115	538	875	8
115	596	613	16
115	791	145	16
115	915	1883	8
115	1024	98	2
115	1024	2903	8
115	1024	3220	2
115	2217	1094	8
115	2429	566	2
115	2489	649	16
115	3127	3145	2
116	262	259	16
116	296	308	16
116	296	3195	8
116	473	1139	2
116	596	152	8
116	596	245	16
116	596	2817	8
116	789	245	2
116	791	1774	2
116	862	860	16
116	1024	3208	18
116	1031	3122	8
116	1216	1219	8
116	1350	1351	8
116	1377	2001	16
116	1648	1691	16
116	1855	2847	16
116	2305	662	2
116	2334	2053	8
116	2375	2452	2
116	2458	2349	2
116	2821	476	16
116	3205	3195	16
116	3205	3197	2
117	262	255	16
117	473	429	2
117	473	457	16
117	596	1759	8
117	596	2853	16
117	791	1743	16
117	791	2570	16
117	791	2920	16
117	837	1254	2
117	1024	301	16
117	1024	2431	2
117	1377	1367	16
117	1377	1372	16
117	1439	932	2
117	2642	2758	8
117	3205	3196	16
117	3205	3198	2
118	224	1038	16
118	262	252	8
118	296	307	16
118	420	579	16
118	473	312	16
118	473	474	16
118	473	477	8
118	512	515	16
118	538	523	8
118	596	1789	24
118	596	2787	2
118	645	906	16
118	748	928	16
118	789	928	16
118	837	928	16
118	1024	315	16
118	1024	770	2
118	1024	2094	16
118	1024	2851	8
118	1216	299	16
118	1377	1362	16
118	1377	1473	16
118	1990	2038	8
118	2642	2674	16
118	2682	2665	16
118	3181	105	8
118	3205	3206	16
119	262	1096	16
119	412	373	16
119	596	1345	16
119	675	979	16
119	791	1565	2
119	1024	738	2
119	1024	1195	16
119	2346	2201	2
119	2518	2133	16
119	2925	2856	2
119	3205	294	2
119	3205	3190	16
119	3205	3215	2
119	3250	786	16
120	262	1046	2
120	296	305	16
120	538	325	2
120	596	575	16
120	596	805	16
120	596	1722	16
120	596	2915	2
120	1024	302	16
120	1024	1749	16
120	1205	1826	2
120	1216	1223	8
120	1216	1472	16
120	1535	820	16
120	1535	1529	16
120	1714	1712	16
120	2272	3105	8
120	2518	2082	2
120	3250	3247	2
121	262	108	16
121	473	322	16
121	473	475	2
121	596	549	2
121	791	935	2
121	1377	1393	16
121	1462	1471	8
121	1714	1708	8
121	2042	1974	24
121	2042	1978	8
121	2042	1999	16
121	2042	2010	8
121	2042	2035	2
121	2042	3209	8
121	2528	2105	16
121	2716	2583	2
121	2886	2882	8
121	3181	2841	16
121	3205	3189	2
122	473	389	16
122	473	438	2
122	538	537	16
122	538	884	16
122	596	222	16
122	596	266	8
122	596	2828	10
122	791	2875	16
122	1173	1146	2
122	1216	1215	16
122	1535	1508	2
122	2042	2033	16
122	2518	844	2
122	2518	3161	16
122	2712	2604	16
122	2766	2776	8
122	3085	2791	16
122	3250	3252	16
123	182	188	8
123	262	24	2
123	262	258	16
123	262	263	16
123	262	1764	8
123	473	314	16
123	473	402	2
123	596	167	8
123	596	639	16
123	596	663	8
123	596	810	16
123	596	2050	16
123	596	3135	16
123	791	2859	8
123	1116	843	2
123	1216	1967	8
123	1238	1300	8
123	1377	1371	8
123	1534	1512	16
123	2393	960	8
123	2874	1441	8
123	3205	3219	2
123	3250	3236	16
123	3250	3246	16
124	303	297	16
124	420	486	2
124	596	348	16
124	789	493	2
124	863	861	16
124	1024	1095	16
124	1024	2876	16
124	1612	1137	2
124	1648	1671	8
124	1961	2009	16
124	2642	2641	2
124	2777	2695	16
124	3205	3191	2
124	3205	3211	24
124	3205	3213	16
125	96	87	2
125	197	716	8
125	262	251	16
125	473	346	16
125	596	251	16
125	596	627	2
125	596	647	8
125	596	1103	16
125	596	1549	8
125	596	1645	16
125	733	206	16
125	733	483	2
125	1314	1243	16
125	1890	1842	16
125	1947	1964	8
125	2766	2749	2
126	247	119	2
126	473	413	24
126	473	458	16
126	538	528	2
126	596	257	8
126	596	490	2
126	596	827	16
126	596	966	8
126	596	1143	2
126	791	900	2
126	791	909	8
126	791	1495	2
126	791	1524	2
126	1129	1123	16
126	1377	1383	8
126	1648	1655	16
126	1699	1479	2
126	1936	1968	8
126	1961	2008	8
126	2190	2089	8
126	2335	2251	2
126	2518	1696	8
126	3179	2912	16
126	3181	125	8
126	3181	653	16
126	3205	3187	2
127	473	177	2
127	473	358	2
127	473	377	8
127	596	253	16
127	596	403	2
127	1099	1045	8
127	1535	1538	8
127	1612	1684	16
127	1714	1431	2
127	2042	1983	2
127	2346	2057	16
127	2925	3017	2
127	3093	3088	16
127	3181	1063	2
127	3205	3217	2
128	262	2944	16
128	420	378	2
128	473	382	16
128	473	404	2
128	473	1250	8
128	596	76	16
128	596	165	16
128	596	531	16
128	596	1545	16
128	1314	1306	8
128	1377	1376	2
128	1648	1184	2
128	1648	1618	2
128	1961	1935	16
128	1980	2030	2
128	2042	2030	2
128	2042	2031	16
128	2393	1358	8
128	2511	3116	16
128	3046	3041	2
128	3205	3182	8
128	3205	3210	16
129	256	264	2
129	262	58	16
129	262	154	16
129	473	440	16
129	473	453	8
129	473	470	16
129	473	1308	16
129	473	1870	2
129	473	2801	16
129	596	183	2
129	596	185	8
129	596	456	2
129	596	625	2
129	596	1092	16
129	596	1105	8
129	1648	1571	8
129	1714	907	2
129	1992	1938	16
129	2642	2707	8
129	2863	2864	16
129	3181	1924	8
130	247	2955	16
130	262	260	16
130	473	375	8
130	473	481	2
130	538	541	16
130	596	45	2
130	596	1589	16
130	791	1746	16
130	1024	927	16
130	1198	1849	8
130	1354	718	8
130	1465	1464	2
130	1648	3037	16
130	1890	2578	2
130	1946	1979	8
130	1990	1697	16
130	2217	2332	16
130	2217	2454	8
130	2346	2331	8
130	2777	2661	8
130	2821	461	8
131	96	94	16
131	173	1290	8
131	262	49	2
